No, time, ref, y_nom, y_nn, u_nom, u_nn
1, 0.00000, -0.12500, -27.86844, -27.88687, 0.00000, 0.00000 
2, 0.02000, -0.12500, 17.67268, 17.65676, -0.00550, -0.00550 
3, 0.04000, -0.12500, -17.14580, -17.21394, -0.01270, -0.01240 
4, 0.06000, -0.12500, 10.24839, 10.17554, -0.01951, -0.01871 
5, 0.08000, -0.12500, -10.57844, -10.69256, -0.02729, -0.02572 
6, 0.10000, -0.12500, 5.91021, 5.77273, -0.03475, -0.03223 
7, 0.12000, -0.12500, -6.54011, -6.71427, -0.04268, -0.03899 
8, 0.14000, -0.12500, 3.38864, 3.18542, -0.05027, -0.04528 
9, 0.16000, -0.12500, -4.05247, -4.28734, -0.05797, -0.05153 
10, 0.18000, -0.12500, 1.92534, 1.66326, -0.06528, -0.05732 
11, 0.20000, -0.12500, -2.52478, -2.81167, -0.07245, -0.06291 
12, 0.22000, -0.12500, 1.06950, 0.76174, -0.07919, -0.06804 
13, 0.24000, -0.12500, -1.59815, -1.92232, -0.08563, -0.07287 
14, 0.26000, -0.12500, 0.55535, 0.21897, -0.09159, -0.07727 
15, 0.28000, -0.12500, -1.05249, -1.39604, -0.09716, -0.08133 
16, 0.30000, -0.12500, 0.22822, -0.11810, -0.10223, -0.08499 
17, 0.32000, -0.12500, -0.75101, -1.09524, -0.10686, -0.08830 
18, 0.34000, -0.12500, -0.00001, -0.33791, -0.11099, -0.09125 
19, 0.36000, -0.12500, -0.60710, -0.93442, -0.11468, -0.09388 
20, 0.38000, -0.12500, -0.17787, -0.49085, -0.11789, -0.09618 
21, 0.40000, -0.12500, -0.56469, -0.85991, -0.12067, -0.09819 
22, 0.42000, -0.12500, -0.33062, -0.60506, -0.12301, -0.09993 
23, 0.44000, -0.12500, -0.58658, -0.83773, -0.12496, -0.10142 
24, 0.46000, -0.12500, -0.47013, -0.69586, -0.12652, -0.10268 
25, 0.48000, -0.12500, -0.64745, -0.84619, -0.12773, -0.10373 
26, 0.50000, -0.12500, -0.60085, -0.77137, -0.12862, -0.10460 
27, 0.52000, -0.12500, -0.72976, -0.87139, -0.12921, -0.10531 
28, 0.54000, -0.12500, -0.72338, -0.83577, -0.12954, -0.10587 
29, 0.56000, -0.12500, -0.82119, -0.90448, -0.12963, -0.10630 
30, 0.58000, -0.12500, -0.83660, -0.89119, -0.12951, -0.10663 
31, 0.60000, -0.12500, -0.91317, -0.93988, -0.12921, -0.10686 
32, 0.62000, -0.12500, -0.93889, -0.93875, -0.12877, -0.10702 
33, 0.64000, -0.12500, -0.99984, -0.97419, -0.12820, -0.10711 
34, 0.66000, -0.12500, -1.02880, -0.97915, -0.12754, -0.10715 
35, 0.68000, -0.12500, -1.07742, -1.00548, -0.12680, -0.10716 
36, 0.70000, -0.12500, -1.10537, -1.01297, -0.12600, -0.10713 
37, 0.72000, -0.12500, -1.14369, -1.03277, -0.12517, -0.10708 
38, 0.74000, -0.12500, -1.16824, -1.04078, -0.12433, -0.10702 
39, 0.76000, -0.12500, -1.19769, -1.05574, -0.12349, -0.10695 
40, 0.78000, -0.12500, -1.21763, -1.06321, -0.12265, -0.10688 
41, 0.80000, -0.12500, -1.23936, -1.07448, -0.12185, -0.10681 
42, 0.82000, -0.12500, -1.25431, -1.08092, -0.12108, -0.10675 
43, 0.84000, -0.12500, -1.26936, -1.08933, -0.12036, -0.10670 
44, 0.86000, -0.12500, -1.27944, -1.09458, -0.11969, -0.10666 
45, 0.88000, -0.12500, -1.28879, -1.10077, -0.11908, -0.10663 
46, 0.90000, -0.12500, -1.29447, -1.10486, -0.11853, -0.10662 
47, 0.92000, -0.12500, -1.29909, -1.10933, -0.11805, -0.10663 
48, 0.94000, -0.12500, -1.30100, -1.11239, -0.11763, -0.10665 
49, 0.96000, -0.12500, -1.30184, -1.11556, -0.11727, -0.10669 
50, 0.98000, -0.12500, -1.30070, -1.11778, -0.11698, -0.10674 
51, 1.00000, -0.12500, -1.29865, -1.11997, -0.11676, -0.10681 
52, 1.02000, -0.12500, -1.29522, -1.12152, -0.11660, -0.10689 
53, 1.04000, -0.12500, -1.29110, -1.12301, -0.11649, -0.10699 
54, 1.06000, -0.12500, -1.28608, -1.12408, -0.11644, -0.10710 
55, 1.08000, -0.12500, -1.28063, -1.12508, -0.11645, -0.10723 
56, 1.10000, -0.12500, -1.27466, -1.12582, -0.11650, -0.10736 
57, 1.12000, -0.12500, -1.26850, -1.12651, -0.11659, -0.10751 
58, 1.14000, -0.12500, -1.26214, -1.12705, -0.11672, -0.10766 
59, 1.16000, -0.12500, -1.25580, -1.12757, -0.11689, -0.10782 
60, 1.18000, -0.12500, -1.24950, -1.12801, -0.11708, -0.10799 
61, 1.20000, -0.12500, -1.24340, -1.12845, -0.11731, -0.10817 
62, 1.22000, -0.12500, -1.23752, -1.12887, -0.11755, -0.10835 
63, 1.24000, -0.12500, -1.23196, -1.12931, -0.11781, -0.10853 
64, 1.26000, -0.12500, -1.22674, -1.12976, -0.11808, -0.10871 
65, 1.28000, -0.12500, -1.22194, -1.13025, -0.11836, -0.10890 
66, 1.30000, -0.12500, -1.21755, -1.13076, -0.11865, -0.10909 
67, 1.32000, -0.12500, -1.21363, -1.13132, -0.11894, -0.10928 
68, 1.34000, -0.12500, -1.21016, -1.13193, -0.11923, -0.10948 
69, 1.36000, -0.12500, -1.20717, -1.13258, -0.11952, -0.10967 
70, 1.38000, -0.12500, -1.20464, -1.13327, -0.11981, -0.10986 
71, 1.40000, -0.12500, -1.20257, -1.13402, -0.12008, -0.11005 
72, 1.42000, -0.12500, -1.20095, -1.13481, -0.12035, -0.11023 
73, 1.44000, -0.12500, -1.19974, -1.13565, -0.12061, -0.11042 
