No, time, ref, y_nom, y_nn, u_nom, u_nn
1, 0.00000, -0.37500, -83.60531, -83.52594, 0.00000, 0.00000 
2, 0.02000, -0.37500, 53.01804, 53.01002, -0.01650, -0.01648 
3, 0.04000, -0.37500, -51.43740, -51.57551, -0.03809, -0.03713 
4, 0.06000, -0.37500, 30.74519, 30.53964, -0.05853, -0.05598 
5, 0.08000, -0.37500, -31.73525, -32.10030, -0.08187, -0.07698 
6, 0.10000, -0.37500, 17.73082, 17.33713, -0.10426, -0.09646 
7, 0.12000, -0.37500, -19.61989, -20.19891, -0.12804, -0.11672 
8, 0.14000, -0.37500, 10.16676, 9.57449, -0.15081, -0.13555 
9, 0.16000, -0.37500, -12.15591, -12.92206, -0.17391, -0.15431 
10, 0.18000, -0.37500, 5.77844, 5.00189, -0.19584, -0.17166 
11, 0.20000, -0.37500, -7.57057, -8.48924, -0.21738, -0.18842 
12, 0.22000, -0.37500, 3.21397, 2.28928, -0.23760, -0.20381 
13, 0.24000, -0.37500, -4.78677, -5.81423, -0.25694, -0.21833 
14, 0.26000, -0.37500, 1.67634, 0.65269, -0.27485, -0.23154 
15, 0.28000, -0.37500, -3.14403, -4.23038, -0.29159, -0.24377 
16, 0.30000, -0.37500, 0.70167, -0.36661, -0.30684, -0.25477 
17, 0.32000, -0.37500, -2.23195, -3.32579, -0.32078, -0.26477 
18, 0.34000, -0.37500, 0.02544, -1.03407, -0.33325, -0.27367 
19, 0.36000, -0.37500, -1.79104, -2.84387, -0.34437, -0.28164 
20, 0.38000, -0.37500, -0.49839, -1.50101, -0.35408, -0.28864 
21, 0.40000, -0.37500, -1.65368, -2.62323, -0.36250, -0.29480 
22, 0.42000, -0.37500, -0.94623, -1.85190, -0.36962, -0.30013 
23, 0.44000, -0.37500, -1.70889, -2.56136, -0.37556, -0.30475 
24, 0.46000, -0.37500, -1.35443, -2.13267, -0.38034, -0.30868 
25, 0.48000, -0.37500, -1.88147, -2.59259, -0.38409, -0.31202 
26, 0.50000, -0.37500, -1.73701, -2.36748, -0.38685, -0.31482 
27, 0.52000, -0.37500, -2.11941, -2.67467, -0.38874, -0.31715 
28, 0.54000, -0.37500, -2.09636, -2.56862, -0.38982, -0.31906 
29, 0.56000, -0.37500, -2.38632, -2.78049, -0.39019, -0.32061 
30, 0.58000, -0.37500, -2.42955, -2.74220, -0.38994, -0.32185 
31, 0.60000, -0.37500, -2.65678, -2.89292, -0.38915, -0.32283 
32, 0.62000, -0.37500, -2.73196, -2.89140, -0.38791, -0.32360 
33, 0.64000, -0.37500, -2.91335, -3.00148, -0.38628, -0.32419 
34, 0.66000, -0.37500, -2.99926, -3.01822, -0.38435, -0.32464 
35, 0.68000, -0.37500, -3.14462, -3.10016, -0.38219, -0.32498 
36, 0.70000, -0.37500, -3.22845, -3.12432, -0.37985, -0.32525 
37, 0.72000, -0.37500, -3.34379, -3.18600, -0.37740, -0.32546 
38, 0.74000, -0.37500, -3.41820, -3.21145, -0.37489, -0.32563 
39, 0.76000, -0.37500, -3.50766, -3.25803, -0.37237, -0.32580 
40, 0.78000, -0.37500, -3.56890, -3.28154, -0.36987, -0.32596 
