time, ref, y_nom_1, y_nom_2,y_nom_3,y_nom_4,y_nom_5,y_nom_6, y_nom_7,y_nom_8,y_nom_9,y_nom_10,y_nom_11,y_nom_12,y_nn_1, y_nn_2,y_nn_3,y_nn_4,y_nn_5,y_nn_6,y_nn_7,y_nn_8,y_nn_9, y_nn_10,y_nn_11,y_nn_12,u_nn_1, u_nn_2, u_nn_3,u_nn_4,u_nom_1,u_nom_2,u_nom_3,u_nom_4
0.00000, 0.62761, 0.00000, 0.00000, 0.49804, 0.00000, 0.00000, 0.00165, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75859,-0.00000, -0.00000, 0.00000, 20.07454, 0.00000,0.00000, 0.00000 
0.01000, 0.62761, 0.00000, 0.00000, 0.49802, 0.00000, 0.00000, 0.00148, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00022,0.00000, 0.00000, -0.04483, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75822,-0.00000, -0.00000, 0.00000, 19.94578, 0.00000,0.00000, 0.00000 
0.02000, 0.62761, 0.00000, 0.00000, 0.49801, 0.00000, 0.00000, 0.00131, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00089,0.00000, 0.00000, -0.08874, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75785,-0.00000, -0.00000, 0.00000, 19.81525, 0.00000,0.00000, 0.00000 
0.03000, 0.62761, 0.00000, 0.00000, 0.49799, 0.00000, 0.00000, 0.00114, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00200,0.00000, 0.00000, -0.13170, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75746,-0.00000, -0.00000, 0.00000, 19.68309, 0.00000,0.00000, 0.00000 
0.04000, 0.62761, 0.00000, 0.00000, 0.49798, 0.00000, 0.00000, 0.00097, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00352,0.00000, 0.00000, -0.17372, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75707,-0.00000, -0.00000, 0.00000, 19.54942, 0.00000,0.00000, 0.00000 
0.05000, 0.62761, 0.00000, 0.00000, 0.49798, 0.00000, 0.00000, 0.00081, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00547,0.00000, 0.00000, -0.21478, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75667,-0.00000, -0.00000, 0.00000, 19.41438, 0.00000,0.00000, 0.00000 
0.06000, 0.62761, 0.00000, 0.00000, 0.49797, 0.00000, 0.00000, 0.00065, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.00782,0.00000, 0.00000, -0.25486, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75626,-0.00000, -0.00000, 0.00000, 19.27809, 0.00000,0.00000, 0.00000 
0.07000, 0.62761, 0.00000, 0.00000, 0.49796, 0.00000, 0.00000, 0.00049, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01056,0.00000, 0.00000, -0.29397, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75584,-0.00000, -0.00000, 0.00000, 19.14066, 0.00000,0.00000, 0.00000 
0.08000, 0.62761, 0.00000, 0.00000, 0.49796, 0.00000, 0.00000, 0.00033, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01369,0.00000, 0.00000, -0.33210, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75542,-0.00000, -0.00000, 0.00000, 19.00221, 0.00000,0.00000, 0.00000 
0.09000, 0.62761, 0.00000, 0.00000, 0.49796, 0.00000, 0.00000, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 0.01720,0.00000, 0.00000, -0.36923, 0.00000, 0.00000,0.00000, 0.00000, 0.00000, 0.00000, 13.75499,-0.00000, -0.00000, 0.00000, 18.86286, 0.00000,0.00000, 0.00000 
